concept_id,concept_code,concept_name,concept_class_id,parent_concept_id,member_ingredient_count,member_drug_count
21600055,A02AB,Aluminium compounds,ATC 4th,21600047,61,512
21600064,A02AC,Calcium compounds,ATC 4th,21600047,59,933
21600213,A03CB,Belladonna and derivatives in combination with psycholeptics,ATC 4th,21600201,2,413
21600510,A05A,BILE THERAPY,ATC 3rd,21600509,15,353
21600537,A06AB,Contact laxatives,ATC 4th,21600532,19,879
21600600,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",ATC 2nd,21600001,133,5243
21600735,A10AE,"Insulins and analogues for injection, long-acting",ATC 4th,21600713,6,124
21600857,A12,MINERAL SUPPLEMENTS,ATC 2nd,21600001,79,4797
21600934,A16AA,Amino acids and derivatives,ATC 4th,21600933,7,183
21601194,B05X,I.V. SOLUTION ADDITIVES,ATC 3rd,21601136,27,3403
21600361,C01EA,Prostaglandins,ATC 4th,21600360,1,83
21600447,C02KX,Antihypertensives for pulmonary arterial hypertension,ATC 4th,21600438,5,81
21601605,C05,VASOPROTECTIVES,ATC 2nd,21601237,54,9767
21601635,C05BA,Heparins or heparinoids for topical use,ATC 4th,21601634,4,183
21601709,C07BB,"Beta blocking agents, selective, and thiazides",ATC 4th,21601701,0,58
21601741,C07FB,Beta blocking agents and calcium channel blockers,ATC 4th,21601738,0,9
21601766,C08DA,Phenylalkylamine derivatives,ATC 4th,21601765,2,224
21601801,C09B,"ACE INHIBITORS, COMBINATIONS",ATC 3rd,21601782,0,185
21601823,C09CA,"Angiotensin II receptor blockers (ARBs), plain",ATC 4th,21601822,8,164
21601845,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations",ATC 4th,21601832,0,180
21602027,D04AX,Other antipruritics,ATC 4th,21602003,1,77
21602073,D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,ATC 3rd,21602054,21,524
21602169,D07CC,"Corticosteroids, potent, combinations with antibiotics",ATC 4th,21602158,0,119
21602301,D10AE,Peroxides,ATC 4th,21602282,1,787
21602319,D10BA,Retinoids for treatment of acne,ATC 4th,21602318,1,125
21602445,G02B,CONTRACEPTIVES FOR TOPICAL USE,ATC 3rd,21602429,31,1061
21602452,G02C,OTHER GYNECOLOGICALS,ATC 3rd,21602429,20,772
21602515,G03CA,"Natural and semisynthetic estrogens, plain",ATC 4th,21602514,10,799
21602558,G03E,ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION,ATC 3rd,21602471,1,159
21602613,G03H,ANTIANDROGENS,ATC 3rd,21602471,1,18
21602616,G03HB,Antiandrogens and estrogens,ATC 4th,21602613,0,3
21602627,G04,UROLOGICALS,ATC 2nd,21602359,39,1245
21602687,H01AB,Thyrotropin,ATC 4th,21602683,1,15
